Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT
21503;80214;REAL Böblingen 1 8021.4       ;Röhrer Weg 15+18              ;71032;BÖBLINGEN 1

21503;80221;REAL Tübingen 8022.1          ;Alte Landstraße 45            ;72072;TÜBINGEN

21503;80238;REAL Balingen 1 8023.8        ;Lange Straße 24+37            ;72336;Balingen 1

21503;80252;REAL Horb (am Neckar)         ;Hahnerstraße 1                ;72160;Horb (am Neckar)

21503;80269;REAL Kirchheim (am Neckar)    ;Max-Eyth-Straße 6             ;74366;Kirchheim am Neckar

21503;80276;REAL Böblingen-Hulb 2         ;Otto-Lilienthal-Straße 24     ;71034;BÖBLINGEN-HULB 2

21503;80290;REAL Waiblingen 8029.0        ;Ruhrstraße 5                  ;71332;Waiblingen

21503;80337;REAL Gerlingen 8033.7         ;Weilimdorfer Straße 91        ;70839;Gerlingen

21503;80351;REAL Oberndorf (am Neckar)    ;Friedrich-List-Straße 10      ;78727;Oberndorf am Neckar

21503;80382;REAL Jettingen 8038.2         ;Heilbergstraße 3              ;71131;Jettingen

21503;80504;REAL Kaiserslautern 3         ;Mannheimer Straße 234         ;67657;Kaiserslautern 3

21503;80542;REAL Balingen-City 2 8054.2   ;Wilhelmstraße 34              ;72336;Balingen-City 2

21503;80597;REAL Sindelfingen 8059.7      ;Mercedesstraße 12             ;71063;Sindelfingen

21503;80696;REAL Nürtingen 8069.6         ;Eichendorffstraße             ;72622;NÜRTINGEN

21503;80764;REAL Ludwigshafen 8076.4      ;Yorkstr. 30                   ;67059;Ludwigshafen

21503;80818;REAL Heidenheim 8081.8        ;Nattheimerstraße 100          ;89520;Heidenheim

21503;80856;REAL Senden 8085.6            ;Berliner Straße 7             ;89250;Senden

21503;83031;REAL Traunstein 8303.1        ;Am Hasslacher Feld 5          ;83278;Traunstein

21503;83055;REAL Ansbach 8305.5           ;Residenzstraße 2-4            ;91522;Ansbach

21503;83079;REAL Deggendorf 8307.9        ;Graflinger Straße 121         ;94469;Deggendorf

21503;83109;REAL Augsburg-Königsbrunn 1   ;Foellstrasse 20               ;86343;AUGSBURG-KÖNIGSBRUNN

21503;83123;REAL Marktredwitz 8312.3      ;Leopoldstraße 30              ;95603;Marktredwitz

21503;83147;REAL Augsburg-Ost 2           ;Reichenbergerstr. 59          ;86161;Augsburg-Ost 2

21503;83161;REAL Nürnberg - Schweinau 2   ;Schwabacher Straße 99         ;90439;NÜrnberg - Schweinau

21503;83178;REAL Nürnberg 8317.8          ;Äußere Bayreuther Str. 80     ;90409;NÜRNBERG

21503;83185;REAL Zwiesel 8318.5           ;Alte Langdorfer Strasse 15    ;94227;Zwiesel

21503;83222;REAL Dörfles-Esbach 8322.2    ;Coburger Straße 2             ;96487;DÖrfles-Esbach

21503;83239;REAL Kulmbach 8323.9          ;Albert-Ruckdeschel-Str. 16    ;95326;Kulmbach

21503;83246;REAL Bayreuth I 8324.6        ;Riedinger Straße 21           ;95448;Bayreuth I

21503;83291;REAL Nürnberg I 8329.1        ;Virnsberger Straße 2 - 4      ;90431;NÜRNBERG I

21503;83345;REAL Regensburg 8334.5        ;Donaustaufer Straße 128       ;93059;Regensburg

21503;83352;REAL Pentling 8335.2          ;Hölkeringer Straße 20         ;93080;Pentling

21503;83369;REAL Straubing I 8336.9       ;Ittlinger Straße 224          ;94315;Straubing I

21503;83376;REAL Straubing II 8337.6      ;Otto-von-Dandl-Ring 11        ;94315;Straubing II

21503;83413;REAL Amberg 8341.3            ;Fuggerstraße 4                ;92224;Amberg

21503;83437;REAL Fürth 8343.7             ;Alexanderstraße 11            ;90762;FÜRTH

21503;83468;REAL Hallstadt Bamberg        ;Emil-Kammer-Straße 2          ;96103;Hallstadt

21503;83475;REAL Bayreuth II 8347.5       ;Carl-von-Linde-Straße 6       ;95447;Bayreuth II

21503;83536;REAL Kempten 8353.6           ;Im Allmey 1                   ;87435;Kempten

21503;83543;REAL Landshut 8354.3          ;Alte Regensburger Str. 21     ;84030;Landshut

21503;83581;REAL Passau 8358.1            ;Holzmannstraße 52             ;94036;Passau

21503;83925;REAL Pfarrkirchen 8392.5      ;Fr.Stelzenberger-Str.1        ;84347;Pfarrkirchen

21503;83949;REAL München 8394.9           ;Margot-Kalinke-Straße4        ;80939;MÜNCHEN

21503;83956;REAL Schwabach 8395.6         ;Am Falbenholzweg 15           ;91126;Schwabach

21503;85608;REAL Freiburg 8560.8          ;St. Georgener Straße 2        ;79111;Freiburg

21503;85615;REAL Bruchsal 8561.5          ;Stuttgarter Straße 10         ;76646;Bruchsal

21503;85622;REAL Elchingen 8562.2         ;Nersinger Str. 28             ;89275;ELCHINGEN

21503;85714;REAL Germersheim 8571.4       ;Mainzer Strasse 6             ;76726;Germersheim

21503;85721;REAL Ueberlingen 8572.1       ;Nussdorfer Strasse 101        ;88662;Ueberlingen

21503;85738;REAL Filderstadt-Bernhausen   ;Plieninger Straße 59-67       ;70794;Filderstadt-Bernh.

21503;85752;REAL Neunkirchen 8575.2       ;Stummstraße 2                 ;66538;Neunkirchen

21503;85769;REAL Villingen-Schwenningen   ;Am neuen Markt 1              ;78052;Villingen-Schwenning

21503;85776;REAL Riegelsberg 8577.6       ;Saarbrücker Straße 262        ;66292;Riegelsberg

21503;85790;REAL Pirmasens 8579.0         ;Zweibrücker Straße 230        ;66954;Pirmasens

21503;85806;REAL Darmstadt 8580.6         ;Gräfenhäuserstr./Leithaec     ;64293;Darmstadt

21503;85820;REAL Ulm Blautal-Center       ;Blaubeurer Str. 95            ;89077;Ulm Blautal-Center

21503;85837;REAL Saarbrücken 8583.7       ;Breslauer Straße 1 a          ;66121;SAARBRÜCKEN

21503;85851;REAL Saarlouis 8585.1         ;Carl-Zeiss-Straße 2           ;66740;Saarlouis

21503;85868;REAL Aschaffenburg 8586.8     ;Horch-Straße 120              ;63741;Aschaffenburg

21503;85875;REAL Frankenthal 8587.5       ;Frankenthaler Straße 67       ;67227;Frankenthal

21503;85882;REAL Rastatt 8588.2           ;Rauentaler Str. 21            ;76437;Rastatt

21503;85899;REAL Lahr 8589.9              ;Offenburger Straße 11         ;77933;Lahr

21503;89002;REAL Alzey 8900.2             ;Industriestraße 23            ;55232;Alzey

21503;89019;REAL Eschborn 8901.9          ;Ginnheimer Str. 18            ;65760;Eschborn

21503;89026;REAL Hattersheim 8902.6       ;Heddingheimer Str. 22         ;65795;Hattersheim

21503;89033;REAL Rüsselsheim 8903.3       ;Ausserhalb 14a                ;65428;RÜSSELSHEIM

21503;89040;REAL Stockstadt 8904.0        ;Taunusstraße 20               ;63811;Stockstadt

21503;89064;REAL Kaiserslautern II        ;Merkurstraße 62-64            ;67663;Kaiserslautern II

21503;89071;REAL Bobenheim-Roxheim        ;Frankenthaler Straße          ;67240;Bobenheim-Roxheim

21503;89088;REAL Haßloch 8908.8           ;Hans-Böckler Str.42           ;67454;HAßLOCH

21503;89095;REAL Limburg 8909.5           ;Mundipharmastraße 1           ;65549;Limburg

21503;89101;REAL Maintal 8910.1           ;Industriestr.6                ;63477;Maintal

21503;89118;REAL Wiesbaden 8911.8         ;Ostring 2                     ;65205;Wiesbaden

21503;89125;REAL Hockenheim 8912.5        ;Speyerer Straße 2             ;68766;Hockenheim

21503;89149;REAL Lollar 8914.9            ;Rothweg 4                     ;35457;Lollar

21503;89156;REAL Mainz 8915.6             ;Essenheimer Str. 222          ;55128;Mainz

21503;89194;REAL Mülheim-Kärlich          ;Industriestr. 4               ;56218;MÜLHEIM-KÄRLICH

21503;89195;Real,- SB-Warenhaus GmbH      ;                              ;            ;

21504;1;                              ;                              ;            ;

21504;61;Real,- SB-Warenhaus GmbH      ;Friedrichstr. 12              ;55232;ALZEY

21504;76006;REAL Bexbach 7600.6           ;Poststraße 1                  ;66450;BEXBACH

21504;76013;REAL Memmingen 7601.3         ;Fraunhofer Straße 8           ;87700;MEMMINGEN

21504;76020;REAL Groß-Gerau 7602.0        ;Mainzer Str. 50               ;64521;GROß-GERAU

21504;76037;REAL Witten 7603.7            ;Annenstraße 133               ;58453;WITTEN

21504;76044;REAL Salzgitter-Lebenstedt    ;Konrad-Adenauer-Allee 111     ;38226;SALZGITTER-LEBENST.

21504;80010;REAL Mutterstadt 8001.0       ;Fohlenweide 21                ;67112;Mutterstadt

21504;80027;REAL Edingen-Neckarshausen    ;Rosenstraße 70                ;68535;Edingen-Neckarshause

21504;80034;REAL Saarbrücken-Dudweiler    ;Fischbachstr.121              ;66125;SAARBRÜCKEN-DUDWEILE

21504;80041;REAL Trier 8004.1             ;Gottbillstrasse 12-18         ;54294;TRIER

21504;80065;REAL Mannheim-Sandhofen 1     ;Amselstraße 10                ;68307;Mannheim-Sandhofen 1

21504;80072;REAL Sinzheim 8007.2          ;Industriestr.22               ;76547;Sinzheim

21504;80089;Real Dettingen 8008.9         ;Im Schwöllbogen 19            ;72581;DETTINGEN

